>LOG: 2021/10/25 13:42:04 | Verification: success | Log: Action: CREATE | Path:/home/paulo/Repos/MyApps/ssi-tp3/models/storage/userid1/.teste.txt.swp
>LOG: 2021/10/25 13:42:04 | Verification: success | Log: Action: WRITE | Path:/home/paulo/Repos/MyApps/ssi-tp3/models/storage/userid1/.teste.txt.swp
>LOG: 2021/10/25 13:42:04 | Verification: success | Log: Action: FLUSH | Path:/home/paulo/Repos/MyApps/ssi-tp3/models/storage/userid1/.teste.txt.swp
>LOG: 2021/10/25 13:42:04 | Verification: success | Log: Action: RELEASE | Path:/home/paulo/Repos/MyApps/ssi-tp3/models/storage/userid1/.teste.txt.swp
>LOG: 2021/10/25 13:42:05 | Verification: success | Log: Action: UNLINK | Path:/home/paulo/Repos/MyApps/ssi-tp3/models/storage/userid1/.teste.txt.swp
>LOG: 2021/10/25 13:42:05 | Verification: success | Log: Action: CREATE | Path:/home/paulo/Repos/MyApps/ssi-tp3/models/storage/userid1/.teste.txt.swp
>LOG: 2021/10/25 13:42:05 | Verification: success | Log: Action: WRITE | Path:/home/paulo/Repos/MyApps/ssi-tp3/models/storage/userid1/.teste.txt.swp
>LOG: 2021/10/25 13:42:05 | Verification: success | Log: Action: FLUSH | Path:/home/paulo/Repos/MyApps/ssi-tp3/models/storage/userid1/.teste.txt.swp
>LOG: 2021/10/25 13:42:05 | Verification: success | Log: Action: RELEASE | Path:/home/paulo/Repos/MyApps/ssi-tp3/models/storage/userid1/.teste.txt.swp
>LOG: 2021/10/25 13:42:06 | Verification: success | Log: Action: CREATE | Path:/home/paulo/Repos/MyApps/ssi-tp3/models/storage/userid1/teste.txt
>LOG: 2021/10/25 13:42:06 | Verification: success | Log: Action: WRITE | Path:/home/paulo/Repos/MyApps/ssi-tp3/models/storage/userid1/teste.txt
>LOG: 2021/10/25 13:42:06 | Verification: success | Log: Action: FLUSH | Path:/home/paulo/Repos/MyApps/ssi-tp3/models/storage/userid1/teste.txt
>LOG: 2021/10/25 13:42:06 | Verification: success | Log: Action: RELEASE | Path:/home/paulo/Repos/MyApps/ssi-tp3/models/storage/userid1/teste.txt
>LOG: 2021/10/25 13:42:06 | Verification: success | Log: Action: UNLINK | Path:/home/paulo/Repos/MyApps/ssi-tp3/models/storage/userid1/.teste.txt.swp
